,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD),area
0,1,True,True,True,Shahran,1850000000.0,61666.67,63.0
1,1,True,True,True,Shahran,1850000000.0,61666.67,60.0
2,2,True,True,True,Pardis,550000000.0,18333.33,79.0
3,2,True,True,True,Shahrake Qods,902500000.0,30083.33,95.0
4,2,True,True,True,Shahrake Gharb,7000000000.0,233333.33,123.0
5,2,True,True,False,North Program Organization,2050000000.0,68333.33,70.0
6,2,True,True,True,Pardis,600000000.0,20000.0,87.0
7,1,True,True,True,Shahran,2150000000.0,71666.67,59.0
8,2,True,True,False,Andisheh,493000000.0,16433.33,54.0
9,1,True,True,True,West Ferdows Boulevard,2370000000.0,79000.0,71.0
10,2,True,True,True,West Ferdows Boulevard,2450000000.0,81666.67,68.0
11,1,True,True,True,Narmak,2100000000.0,70000.0,64.0
12,1,False,True,True,Narmak,1690000000.0,56333.33,54.0
13,3,True,True,True,Saadat Abad,11000000000.0,366666.67,136.0
14,2,True,True,True,Zafar,5000000000.0,166666.67,95.0
15,1,False,True,False,Islamshahr,570000000.0,19000.0,63.0
16,3,True,True,True,Narmak,6700000000.0,223333.33,155.0
17,2,False,True,False,Pirouzi,1450000000.0,48333.33,64.0
18,3,True,True,True,West Ferdows Boulevard,6400000000.0,213333.33,140.0
19,1,False,True,False,Pirouzi,1390000000.0,46333.33,42.0
20,2,True,True,True,Shahrake Gharb,7000000000.0,233333.33,93.0
21,2,True,True,True,Shahrake Shahid Bagheri,2500000000.0,83333.33,87.0
22,1,True,True,True,Shahran,1880000000.0,62666.67,65.0
23,2,True,True,True,Moniriyeh,2277000000.0,75900.0,99.0
24,2,True,True,True,Saadat Abad,7150000000.0,238333.33,105.0
25,3,True,True,True,Velenjak,14945000000.0,498166.67,160.0
26,2,True,True,True,Amirieh,1771000000.0,59033.33,77.0
27,2,True,True,True,Pirouzi,4059000000.0,135300.0,123.0
28,2,True,True,True,Southern Janatabad,630000000.0,21000.0,110.0
29,2,True,True,True,West Ferdows Boulevard,3200000000.0,106666.67,100.0
30,2,False,True,False,Salsabil,1500000000.0,50000.0,90.0
31,1,True,True,True,West Ferdows Boulevard,2200000000.0,73333.33,49.0
32,2,True,True,True,Zargandeh,7872000000.0,262400.0,96.0
33,2,True,True,False,Feiz Garden,2350000000.0,78333.33,67.0
34,2,True,True,True,West Ferdows Boulevard,2500000000.0,83333.33,68.0
35,1,True,False,True,Water Organization,2150000000.0,71666.67,62.0
36,1,True,True,True,West Ferdows Boulevard,2150000000.0,71666.67,55.0
37,2,True,True,True,West Ferdows Boulevard,3750000000.0,125000.0,110.0
38,2,True,True,True,West Ferdows Boulevard,5250000000.0,175000.0,129.0
39,2,True,True,True,West Ferdows Boulevard,4830000000.0,161000.0,109.0
40,1,True,True,True,Saadat Abad,3400000000.0,113333.33,58.0
41,1,True,True,True,Saadat Abad,3850000000.0,128333.33,55.0
42,2,False,True,True,Shahrake Qods,1200000000.0,40000.0,150.0
43,2,True,True,True,,2650000000.0,88333.33,60.0
44,3,True,True,False,ShahrAra,5000000000.0,166666.67,130.0
45,2,True,True,True,Gisha,4750000000.0,158333.33,88.0
46,1,True,True,True,Gisha,2980000000.0,99333.33,51.0
47,3,True,True,False,Shahrake Gharb,7000000000.0,233333.33,113.0
48,2,True,True,True,Ray,2035000000.0,67833.33,110.0
49,1,True,True,True,Abbasabad,2460000000.0,82000.0,60.0
50,2,True,True,True,Pardis,540000000.0,18000.0,98.0
51,2,False,False,True,Ostad Moein,1450000000.0,48333.33,62.0
52,3,True,True,True,Farmanieh,10000000000.0,333333.33,150.0
53,2,False,False,False,Parand,635000000.0,21166.67,75.0
54,1,True,True,False,Punak,2030000000.0,67666.67,61.0
55,1,True,True,False,Punak,2030000000.0,67666.67,61.0
56,2,True,True,True,Shahran,2350000000.0,78333.33,72.0
57,2,True,True,True,Qasr-od-Dasht,3000000000.0,100000.0,100.0
58,3,True,True,True,Aqdasieh,7200000000.0,240000.0,122.0
59,3,True,True,True,Pakdasht,1750000000.0,58333.33,215.0
60,2,True,True,True,Railway,3300000000.0,110000.0,101.0
61,2,True,True,True,Punak,2800000000.0,93333.33,67.0
62,2,True,True,False,Punak,2200000000.0,73333.33,72.0
63,1,True,True,False,Punak,2200000000.0,73333.33,63.0
64,2,True,True,False,Punak,2200000000.0,73333.33,75.0
65,2,True,True,True,Shahran,3500000000.0,116666.67,109.0
66,2,True,True,True,Aqdasieh,7000000000.0,233333.33,122.0
67,1,True,True,True,Central Janatabad,3100000000.0,103333.33,70.0
68,1,True,True,True,West Ferdows Boulevard,2450000000.0,81666.67,60.0
69,1,True,True,False,East Ferdows Boulevard,1920000000.0,64000.0,53.0
70,1,False,True,False,Pakdasht KhatunAbad,850000000.0,28333.33,90.0
71,2,True,True,True,Amirieh,1650000000.0,55000.0,72.0
72,2,True,True,True,Amirieh,1700000000.0,56666.67,74.0
73,3,False,False,True,Parand,560000000.0,18666.67,88.0
74,1,True,True,True,Punak,2150000000.0,71666.67,63.0
75,3,True,True,True,Sattarkhan,5500000000.0,183333.33,114.0
76,3,True,True,True,Saadat Abad,10200000000.0,340000.0,151.0
77,1,True,False,True,Shahran,1760000000.0,58666.67,42.0
78,2,True,True,True,Amirieh,1700000000.0,56666.67,74.0
79,3,False,False,True,Parand,560000000.0,18666.67,88.0
80,1,True,True,True,Punak,2150000000.0,71666.67,63.0
81,3,True,True,True,Sattarkhan,5500000000.0,183333.33,114.0
